review_count,state,year_month,stars.x
577,MA,2010-07,4
964,MA,2014-12,5
426,MA,2016-02,5
426,MA,2017-04,4
458,TX,2010-08,4
825,FL,2015-12,5
1583,TX,2016-07,5
825,FL,2007-12,4
350,MA,2016-07,4
825,FL,2013-07,5
964,MA,2012-10,4
964,MA,2012-09,5
419,FL,2016-08,4
1082,FL,2018-02,3
964,MA,2015-05,3
1082,FL,2018-09,2
41,OH,2017-07,2
1583,TX,2016-02,4
1583,TX,2014-12,4
825,FL,2008-08,1
1583,TX,2016-12,5
426,MA,2013-12,5
577,MA,2011-05,2
577,MA,2015-11,3
964,MA,2017-01,4
107,FL,2017-01,5
1583,TX,2017-01,4
122,BC,2017-01,3
107,FL,2013-02,2
825,FL,2010-03,4
419,FL,2018-03,3
964,MA,2017-10,5
1583,TX,2010-01,4
426,MA,2016-01,1
1583,TX,2012-01,3
964,MA,2018-04,5
107,FL,2015-03,4
577,MA,2015-02,1
825,FL,2013-11,5
1583,TX,2017-02,2
44,TX,2014-10,5
419,FL,2016-03,4
1583,TX,2008-04,3
1583,TX,2015-02,4
41,OH,2018-02,4
1583,TX,2017-07,4
1583,TX,2015-04,4
426,MA,2015-03,5
1583,TX,2013-11,4
419,FL,2016-07,3
1583,TX,2012-11,5
107,FL,2018-04,1
964,MA,2012-09,5
5,MA,2015-08,3
160,MA,2009-03,3
350,MA,2013-08,4
1082,FL,2015-06,4
964,MA,2017-09,4
1583,TX,2008-04,2
964,MA,2014-10,1
1583,TX,2011-02,4
350,MA,2011-03,4
825,FL,2014-07,3
426,MA,2014-02,1
55,OH,2012-01,1
1082,FL,2015-10,5
577,MA,2012-03,4
201,MA,2015-10,4
350,MA,2009-05,3
577,MA,2011-01,4
1082,FL,2017-06,5
1583,TX,2013-01,1
1583,TX,2013-01,4
201,MA,2013-11,5
201,MA,2015-10,5
825,FL,2008-08,4
419,FL,2016-01,3
964,MA,2015-12,5
419,FL,2016-11,5
41,OH,2013-10,2
1082,FL,2009-05,3
90,MA,2017-07,4
964,MA,2010-08,1
1583,TX,2018-03,5
1583,TX,2012-05,5
133,WA,2016-04,4
1082,FL,2013-10,1
201,MA,2012-10,3
55,OH,2013-10,3
55,OH,2018-07,3
107,FL,2017-03,2
1583,TX,2009-08,3
1583,TX,2017-06,5
1583,TX,2012-07,4
1082,FL,2012-05,3
29,OH,2018-01,4
825,FL,2012-06,1
577,MA,2011-01,4
426,MA,2015-01,1
825,FL,2008-08,4
964,MA,2012-11,5
133,WA,2018-01,1
964,MA,2014-10,5
201,MA,2013-04,5
120,WA,2018-03,1
133,WA,2018-09,2
964,MA,2013-08,4
426,MA,2017-01,5
160,MA,2010-11,1
577,MA,2011-04,3
350,MA,2017-03,5
419,FL,2018-03,2
122,BC,2017-01,3
426,MA,2016-03,5
577,MA,2011-07,4
458,TX,2018-06,3
201,MA,2015-08,4
1082,FL,2017-01,1
964,MA,2015-07,1
1082,FL,2018-05,4
419,FL,2016-08,5
350,MA,2011-02,3
90,MA,2017-07,5
825,FL,2013-05,5
1082,FL,2015-04,5
1583,TX,2017-03,5
577,MA,2012-08,4
964,MA,2017-11,4
160,MA,2014-02,1
201,MA,2016-07,5
201,MA,2015-04,5
426,MA,2014-06,2
577,MA,2015-04,1
350,MA,2013-10,5
1583,TX,2014-08,5
293,MA,2016-09,1
825,FL,2015-06,1
419,FL,2016-09,3
350,MA,2018-03,4
1583,TX,2009-10,5
825,FL,2014-09,4
1082,FL,2015-03,4
160,MA,2014-10,1
44,TX,2017-10,5
1082,FL,2015-07,2
1583,TX,2014-06,5
350,MA,2010-10,2
825,FL,2011-04,5
577,MA,2015-01,4
964,MA,2016-04,5
1583,TX,2017-02,4
825,FL,2015-05,2
350,MA,2006-05,4
201,MA,2012-12,5
350,MA,2007-05,2
825,FL,2011-11,5
1583,TX,2014-08,5
