business_id,name,Food Score,Service Score,Environment Score,Variety Score,Music Score,Drink Score,Sauce Score,Stars,Review_Count,address,Price
A,Ahmed Indian Restaurant 1,0.249444444,0.349242424,0.133333333,0.230331263,0.136363636,0.5,-0.0625,3.5,146,"11301 S Orange Blossom Trl, Ste 104",2
B,Ahmed Indian Restaurant 2,0.226196172,0.404545455,0.491666667,0.173044218,0,-0.2,0.158333333,4,131,10042 University Blvd,2
C,Backlot Express,0.222283702,0.357575758,0.3,0.293167702,0.136363636,0.055555556,0.230555556,3.5,129,351 S Studio Dr,2
D,Biergarten Restaurant,0.222797761,0.388727679,0.335027911,0.310131848,0.110508309,0.168883929,0.347115385,4,596,1510 Ave Of The Stars,3
E,Boi Brazil Churrascaria,0.397631766,0.514932712,0.360833333,0.269893665,0.233333333,0.05,0,4,367,5600 International Dr,2
F,Boston Lobster Feast,0.113852494,0.433036245,0.14,0.230106732,0.136363636,0.198076923,0.050892857,3,763,8731 International Dr,3
G,Breakfast with Goofy and his Pals,0.055,-0.7,0.338347289,0.294537815,0.136363636,0.055844156,0.056547619,5,9,10100 Dream Tree Blvd,4
H,Buffet City,0.208449883,0.3125,0.338347289,0.374603175,0.6,0.055844156,0.056547619,3,70,4551 13th St,1
I,Café Osceola,0.440833333,0.168333333,0.6,0.219456845,0.136363636,-0.0625,0.6,3.5,54,9939 Universal Blvd,2
J,Cafe Gauguin,0.061594203,0.441666667,0.338347289,0.375595238,0.136363636,0.1,0.056547619,3,49,9840 International Dr,2
K,Cafe Matisse,0.342592593,0.2,0.338347289,0.287037037,0.136363636,0,0.056547619,3,28,9700 International Dr,2
L,Chef Mickey's,0.228595824,0.364965986,0.479090909,0.308269415,0,-0.046825397,0,3.5,562,4600 World Dr,3
M,Cici's Pizza 1,0.304166667,0.202777778,0.266666667,0.201133787,0.136363636,0.022222222,0,2.5,102,7437 International Dr,1
N,Cici's Pizza 2,0.42,0.078095238,0.338347289,0.1,0.136363636,0.225,0,2.5,32,"11701 International Dr, Ste 2200",1
