business_id,name,Food Score,Service Score,Environment Score,Variety Score,Music Score,Drink Score,Sauce Score,Stars,Review Count,address
gsicNDwrLH4WGeWMDcJv6w,Ahmed Indian Restaurant,0.24944444444444444,0.34924242424242424,0.13333333333333336,0.2303312629399586,,0.5,-0.0625,3.5,146,"11301 S Orange Blossom Trl, Ste 104"
n4diWKcRvAFctwdRA6IPMg,Ahmed Indian Restaurant,0.2261961722488038,0.40454545454545454,0.4916666666666667,0.17304421768707481,0.0,-0.2,0.15833333333333335,4.0,131,10042 University Blvd
riAMZdetrgWrwoUQUoJHRQ,Bachata Breeze Restaurant,0.15000000000000002,,,0.65,,,,3.0,9,5773 Curry Ford Rd
ZCDaGq6eJfG5qB4n3b78Ag,Backlot Express,0.22228370221327967,0.35757575757575755,0.3,0.29316770186335406,,0.05555555555555555,0.23055555555555557,3.5,129,351 S Studio Dr
gmRYAB3xneTOuK8I7UEQCg,Bamboo Garden Super Buffet,-0.027500000000000004,0.0,,0.3,,,,2.5,11,3125 Columbia Blvd
CHTiicer1vhhJ0AfjuEHxA,Biergarten Restaurant,0.22279776110921695,0.3887276785714286,0.3350279106858054,0.31013184843830005,0.11050830889540564,0.1688839285714286,0.3471153846153846,4.0,596,1510 Ave Of The Stars
CnNt_kUkrJ-kpgPPGbMG4A,Boi Brazil Churrascaria,0.3976317663817664,0.514932712215321,0.36083333333333334,0.2698936645365217,0.2333333333333333,0.05,0.0,4.0,367,5600 International Dr
ft1njL-bedfFyefTlDJAyA,Boston Lobster Feast,0.11385249366018597,0.4330362448009507,0.13999999999999999,0.23010673234811163,,0.1980769230769231,0.05089285714285714,3.0,763,8731 International Dr
traOWnt8eIJlqsevJq27Mg,Breakfast with Goofy and his Pals,0.05500000000000003,-0.6999999999999998,,,,,,5.0,9,10100 Dream Tree Blvd
SRxHN7ua5DQawthf7QMMUw,Buffet City,0.20844988344988347,0.3125,,0.3746031746031746,0.6,,,3.0,70,4551 13th St
FKeg0KQtVfBTLBpt7mBZvA,Café Osceola,0.4408333333333333,0.16833333333333333,0.6,0.21945684523809522,,-0.0625,0.6000000000000001,3.5,54,9939 Universal Blvd
Nv_O0QRGbHwgTQhDC87rMg,Cafe Gauguin,0.061594202898550734,0.44166666666666665,,0.3755952380952381,,0.1,,3.0,49,9840 International Dr
OdbUi0riQRTDqvAHfGaT6g,Cafe Matisse,0.34259259259259256,0.2,,0.287037037037037,,0.0,,3.0,28,9700 International Dr
1pzN6Qp10vGqfRX66d4q5w,Chef Mickey's,0.22859582357533176,0.3649659863945578,0.4790909090909091,0.3082694151486098,0.0,-0.046825396825396826,0.0,3.5,562,4600 World Dr
B2F2hFXUSbcr8dG69w6iVQ,Cici's Pizza,0.3041666666666667,0.2027777777777778,0.26666666666666666,0.20113378684807257,,0.022222222222222237,0.0,2.5,102,7437 International Dr
mb0IO3qQ0MMNmPypdz37fw,Cici's Pizza,0.42000000000000004,0.0780952380952381,,0.1,,0.22499999999999998,0.0,2.5,32,"11701 International Dr, Ste 2200"
TNpbiGJJd5iePBj19yTV_A,Cici's Pizza,0.2333333333333333,0.74375,0.1,0.23333333333333334,,0.16071428571428564,0.0,3.0,55,5035 W Irlo Bronson Memorial Hwy
8ardwENx6HbdkQaNv0AIyQ,Cici's Pizza,0.3433333333333333,0.7,0.4777777777777777,0.20731292517006802,,0.05,,3.0,35,"13605 Sr 535, Ste 101"
_715vG1M1uq8zIl05A9MmA,Covington Mill Restaurant,0.2513888888888889,0.725,-0.20000000000000007,0.37857142857142856,,,,4.0,18,1751 Hotel Plaza Blvd
2C1A6GzXXRi_eEieQAmyRg,Crazy Buffet,0.19938088976550516,0.02916666666666667,-0.4,0.28058016749605535,,0.21666666666666665,0.0,3.5,240,7038 W Colonial Dr
LEvt2r5fIQ1Iquy7N3KvCA,Crydermans Barbecue,0.40535714285714286,0.30925925925925923,0.175,0.3277777777777778,0.1666666666666666,-0.014583333333333295,0.281077694235589,4.5,114,401 Florida Ave
hla1pV9SYTCZRzzxDVXz3g,Curry House Indian Cuisine,0.21428571428571427,0.3013888888888889,,0.32380952380952377,,,,4.5,16,11352 S Orange Blossom Trl
hmcXUPprL7ju7nzJlPIqlg,El Palacio Buffet,0.19007936507936507,0.46458333333333335,0.48333333333333334,0.3860491071428571,,,,4.0,38,909 West Vine St
J9e7IUn_FmZ7Y-OtUql6Ug,El Palacio Buffet,0.15195414913724772,0.26805555555555555,0.16111111111111112,0.3576494427558258,,0.043877551020408155,,3.5,152,7403 S Orange Blossom Trl
GLHa2PtTm9wL_cUvEYxkHQ,El Palacio Buffet,0.16428571428571428,0.10060606060606059,,0.26,0.0,,,1.5,26,843 Lee Rd
